RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
4318,15592194,Metcalf,492,France,Female,28,9,0,2,1,0,95957.09,0
4319,15803685,Greco,673,Germany,Female,77,10,76510.52,2,0,1,59595.66,0
4320,15759456,Lupton,609,Spain,Male,34,7,140694.78,2,1,0,46266.63,0
4321,15611544,Ibeamaka,701,Germany,Male,36,7,95448.32,2,1,0,189085.07,0
4322,15794257,Hsiung,651,France,Male,34,4,91562.99,1,1,1,123954.15,0
4323,15681697,Rueda,508,France,Male,31,8,72541.48,1,1,0,129803.08,0
4324,15579566,Li Fonti,616,Spain,Female,43,3,120867.18,1,1,0,18761.92,1
4325,15577970,Alexeeva,489,France,Male,34,5,0,1,0,0,43540.59,0
4326,15727489,Madueke,567,Spain,Female,45,1,157320.51,1,1,0,62193.92,0
4327,15764284,Torres,714,Spain,Male,27,3,0,3,1,1,129130.09,0
4328,15581811,Chukwubuikem,678,Germany,Female,30,1,139676.95,2,0,1,16146,0
4329,15622527,Holloway,581,France,Female,55,6,0,1,1,1,22442.13,0
4330,15753362,Evdokimov,748,Spain,Male,60,3,0,2,1,1,78194.37,0
4331,15666652,Anayolisa,781,France,Female,19,3,0,2,1,1,124297.32,0
4332,15789714,Semmens,691,Spain,Male,21,3,103000.94,1,1,1,104648.58,0
4333,15771543,Tu,507,Germany,Male,31,2,134237.07,1,1,1,166423.66,1
4334,15748327,Anderson,724,Germany,Male,34,6,118235.7,2,0,0,157137.23,0
4335,15754649,Fang,705,Spain,Female,57,3,0,2,1,1,34134.14,0
